Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Body aches,General discomfort,Irritability,,,,,,,,,,
Mumps,Headache,Pain while chewing or swallowing,Fever,Loss of appetite,Trouble chewing,Fever,Headache,Muscle aches,Loss of appetite,,,,,,,
Norovirus Infection,Loss of appetite,Dehydration,Chills,General discomfort,Irritability,,,,,,,,,,,
Norovirus Infection,Headache,Fatigue,Abdominal pain,Loss of appetite,Sweating,Body aches,Irritability,,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Stomach cramps,Headache,Fatigue,Dehydration,Feverish,Joint pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Chills,,,,,
Roseola,Rash,Sore throat,Headache,Red eyes,Vomiting,Loss of appetite,Rashes,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Vomiting,Bloody stools,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,General discomfort,Chills,Joint pain,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Stomach cramps,Fatigue,Rashes,Joint pain,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Vomiting,Chills,Feverish,,,,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Red spots,Blisters,Cough,Headache,General discomfort,Difficulty swallowing,,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Rashes,General discomfort,,,,,,
"Hand, Foot, and Mouth Disease",Rash on hands and feet,Loss of appetite,Irritability,Sore throat,Mouth sores,Blisters,General discomfort,Difficulty swallowing,,,,,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,General discomfort,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Abdominal pain,General discomfort,Fever,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Abdominal pain,Loss of appetite,Rashes,General discomfort,,,,,,,
Roseola,High fever,Runny nose,Irritability,Sore throat,Headache,Red eyes,Rashes,,,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Fatigue,Abdominal pain,Dehydration,General discomfort,Fever,Irritability,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Sore throat,Headache,Red eyes,Body aches,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Bloody stools,Muscle aches,Feverish,Rashes,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Fatigue,Dehydration,Loss of appetite,Rashes,General discomfort,Chills,Joint pain,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Bloody stools,Stomach cramps,Headache,Dehydration,Loss of appetite,Muscle aches,Feverish,Chills,Joint pain,,,,
Roseola,High fever,Rash,Swollen lymph nodes,Headache,Diarrhea,Abdominal pain,Body aches,Chills,,,,,,,,
Shigellosis (Bacillary Dysentery),Nausea,Bloody stools,Stomach cramps,Headache,Muscle aches,Body aches,Feverish,Rashes,Chills,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Abdominal pain,Loss of appetite,Chills,Rashes,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Chills,Joint pain,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,General discomfort,Chills,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Dehydration,,,,,,,,,
Fifth Disease (Erythema Infectiosum),Fatigue,Sore throat,Runny or stuffy nose,Mild fever,Swollen joints,Malaise,Diarrhea,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Stomach cramps,Loss of appetite,General discomfort,,,,,,,,,,
Norovirus Infection,Diarrhea,Headache,Abdominal pain,Dehydration,Sweating,Rashes,General discomfort,Fever,Irritability,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Muscle aches,Nausea,Headache,Abdominal pain,Chills,Sweating,General discomfort,Fever,Irritability,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Nausea,Fatigue,Loss of appetite,Dehydration,Chills,General discomfort,Fever,,,,,,
Roseola,Rash,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Red spots,Blisters,Fatigue,Cough,Sore muscles,Headache,Difficulty swallowing,,,,,,,
Norovirus Infection,Muscle aches,Nausea,Abdominal pain,Dehydration,Sweating,Fever,Irritability,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Fatigue,Headache,Diarrhea,Loss of appetite,Chills,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Irritability,,,,,,,
Roseola,Irritability,Fatigue,Diarrhea,Abdominal pain,Body aches,Rashes,Chills,,,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Headache,Fatigue,Dehydration,Chills,Sweating,Fever,Irritability,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Loss of appetite,Mouth sores,Fatigue,Headache,General discomfort,Mild fever,Difficulty swallowing,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Abdominal pain,Sweating,Body aches,Rashes,General discomfort,Irritability,,,,,,
Strep Throat,Sore throat,Fever,Red and swollen tonsils,Swollen lymph nodes,Loss of appetite,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Headache,Loss of appetite,Muscle aches,Body aches,Chills,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Headache,Loss of appetite,Body aches,Fever,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Loss of appetite,Muscle aches,Feverish,Rashes,General discomfort,,,,,,
Roseola,Fatigue,Sore throat,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Bloody stools,Loss of appetite,Muscle aches,Body aches,Rashes,Chills,,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Headache,Fatigue,Abdominal pain,Sweating,Rashes,General discomfort,Fever,Irritability,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Stomach cramps,Dehydration,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Low-grade fever,Headache,Fatigue,Sweating,Body aches,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Stomach cramps,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,Joint pain,,,,
Roseola,Swollen lymph nodes,Cough,Diarrhea,Loss of appetite,Body aches,Chills,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Fatigue,Feverish,General discomfort,,,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Sore throat,Red eyes,Vomiting,Loss of appetite,Feverish,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Headache,Abdominal pain,Body aches,,,,,,,,
"Hand, Foot, and Mouth Disease",Fever,Sores in mouth,Sore throat,Mouth sores,Red spots,Fatigue,General discomfort,Mild fever,Difficulty swallowing,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Muscle aches,Chills,Rashes,General discomfort,Fever,Irritability,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Nausea,Abdominal pain,Dehydration,Fever,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Stomach cramps,Muscle aches,General discomfort,,,,,,,,,,,,
Pertussis (Whooping Cough),Whooping cough,Sneezing,Nasal discharge,"Sore, watery eyes","Cyanosis (blue lips, tongue, nailbeds)",Exhaustion,Runny nose,Severe coughing fits,Vomiting after coughing,,,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Body aches,Rashes,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Dehydration,Loss of appetite,Body aches,Rashes,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,General discomfort,Chills,Joint pain,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Headache,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Feverish,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Dehydration,Rashes,General discomfort,Irritability,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Loss of appetite,Dehydration,Chills,Body aches,Rashes,Fever,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Fatigue,Dehydration,Body aches,Chills,Joint pain,,,,,,,
Mumps,Muscle aches,Fever,Headache,Loss of appetite,,,,,,,,,,,,
Norovirus Infection,Low-grade fever,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,General discomfort,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Cough,Red eyes,Abdominal pain,Body aches,Rashes,Chills,Feverish,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Muscle aches,General discomfort,Joint pain,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Bloody stools,Stomach cramps,Loss of appetite,Body aches,General discomfort,Chills,Joint pain,,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Muscle aches,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Fever,Irritability,,,,,
Roseola,High fever,Swollen lymph nodes,Sore throat,Cough,Red eyes,Loss of appetite,Abdominal pain,Feverish,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Stomach cramps,Fatigue,Dehydration,General discomfort,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Headache,Loss of appetite,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,
Shigellosis (Bacillary Dysentery),Vomiting,Bloody stools,Headache,Fatigue,Dehydration,Muscle aches,Feverish,Rashes,Chills,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Loss of appetite,Body aches,Feverish,Joint pain,,,,,,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Muscle aches,Nausea,Abdominal pain,Dehydration,Chills,Sweating,Body aches,Rashes,Fever,Irritability,,,,
Norovirus Infection,Low-grade fever,Nausea,Abdominal pain,Dehydration,Chills,Sweating,Body aches,Rashes,Fever,Irritability,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Chills,,,,
Shigellosis (Bacillary Dysentery),Nausea,Vomiting,Headache,Muscle aches,Rashes,General discomfort,Chills,,,,,,,,,
Mumps,Fever,Muscle aches,Tiredness,Loss of appetite,Trouble chewing,Fever,Tiredness,,,,,,,,,
Roseola,High fever,Runny nose,Red eyes,Diarrhea,Vomiting,Body aches,Rashes,Chills,Feverish,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Stomach cramps,Headache,Body aches,Rashes,Joint pain,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Fatigue,Loss of appetite,Chills,General discomfort,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Bloody stools,Stomach cramps,Fatigue,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Nausea,Vomiting,Bloody stools,Body aches,Feverish,Rashes,General discomfort,Chills,Joint pain,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Nausea,Vomiting,Bloody stools,Headache,Dehydration,Loss of appetite,Body aches,Feverish,General discomfort,,,,,
Norovirus Infection,Diarrhea,Stomach cramps,Headache,Abdominal pain,Dehydration,Chills,Rashes,Irritability,,,,,,,,
Scarlet Fever,Fever,Sore throat,Red rash on the body,Strawberry tongue,Pale skin around lips,Fever (100.4�F / 38.0�C or higher),"Tender, enlarged neck glands",Abdominal pain,Headache and body aches,,,,,,,
Shigellosis (Bacillary Dysentery),Diarrhea,Bloody stools,Muscle aches,Feverish,General discomfort,Joint pain,,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Headache,Vomiting,Feverish,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Vomiting,Loss of appetite,Rashes,Chills,,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Fatigue,Loss of appetite,Dehydration,Rashes,General discomfort,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Bloody stools,Stomach cramps,Headache,Dehydration,Muscle aches,Feverish,Rashes,Chills,Joint pain,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Nausea,Fatigue,Dehydration,Chills,Sweating,General discomfort,Irritability,,,,,,
Roseola,Rash,Fatigue,Headache,Diarrhea,Body aches,Chills,,,,,,,,,,
Norovirus Infection,Stomach cramps,Low-grade fever,Headache,Abdominal pain,Loss of appetite,Sweating,Body aches,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Headache,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Rashes,,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Rash on hands and feet,Loss of appetite,Blisters,Cough,General discomfort,Difficulty swallowing,,,,,,,,,
Roseola,Headache,Diarrhea,Loss of appetite,Body aches,Rashes,Chills,,,,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Sore throat,Red eyes,Diarrhea,Vomiting,Abdominal pain,Body aches,Rashes,Chills,,,,
Norovirus Infection,Diarrhea,Muscle aches,Nausea,Fatigue,Body aches,Rashes,General discomfort,Fever,Irritability,,,,,,,
Norovirus Infection,Diarrhea,Low-grade fever,Abdominal pain,Loss of appetite,Chills,Sweating,Body aches,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Nausea,Vomiting,Stomach cramps,Fatigue,Dehydration,Muscle aches,Feverish,,,,,,,,
Roseola,Rash,Fatigue,Swollen lymph nodes,Sore throat,Cough,Red eyes,Loss of appetite,Abdominal pain,Body aches,Rashes,Chills,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Sore throat,Headache,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,
Shigellosis (Bacillary Dysentery),Diarrhea,Vomiting,Stomach cramps,Headache,Fatigue,Dehydration,Muscle aches,Rashes,General discomfort,Joint pain,,,,,,
Norovirus Infection,Muscle aches,Nausea,Headache,Fatigue,Dehydration,Chills,Rashes,General discomfort,Fever,,,,,,,
Roseola,High fever,Runny nose,Rash,Swollen lymph nodes,Sore throat,Headache,Cough,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Loss of appetite,Body aches,Rashes,Fever,Irritability,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Headache,Fatigue,Muscle aches,Body aches,Feverish,Chills,Joint pain,,,,,,
Roseola,Rash,Headache,Red eyes,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,,
Roseola,High fever,Rash,Irritability,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Vomiting,Loss of appetite,Rashes,Chills,Feverish,,,,
Roseola,Rash,Sore throat,Headache,Diarrhea,Loss of appetite,Feverish,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Bloody stools,Stomach cramps,Headache,Fatigue,Dehydration,Body aches,Rashes,General discomfort,Joint pain,,,,,
Roseola,High fever,Rash,Irritability,Fatigue,Headache,Diarrhea,Rashes,,,,,,,,,
Norovirus Infection,Stomach cramps,Loss of appetite,Dehydration,Rashes,Fever,Irritability,,,,,,,,,,
Roseola,High fever,Irritability,Sore throat,Headache,Diarrhea,Rashes,Feverish,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Muscle aches,Joint pain,,,,,,
Roseola,Rash,Irritability,Sore throat,Headache,Cough,Red eyes,Abdominal pain,Feverish,,,,,,,,
Norovirus Infection,Muscle aches,Headache,Fatigue,Loss of appetite,Dehydration,Chills,General discomfort,Fever,Irritability,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Muscle aches,Nausea,Sweating,General discomfort,Irritability,,,,,,,,,
Norovirus Infection,Vomiting,Muscle aches,Nausea,Abdominal pain,Loss of appetite,Dehydration,Sweating,Rashes,General discomfort,,,,,,,
Shigellosis (Bacillary Dysentery),Abdominal pain or cramps,Diarrhea,Bloody stools,Dehydration,Muscle aches,Body aches,Rashes,,,,,,,,,
Norovirus Infection,Vomiting,Low-grade fever,Nausea,Fatigue,Abdominal pain,Chills,Sweating,Body aches,General discomfort,Fever,Irritability,,,,,
Roseola,Rash,Fatigue,Sore throat,Headache,Diarrhea,Vomiting,Loss of appetite,,,,,,,,,
Norovirus Infection,Fatigue,Dehydration,Body aches,Rashes,,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Vomiting,Bloody stools,Dehydration,Loss of appetite,Body aches,Feverish,Rashes,Chills,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Fatigue,Loss of appetite,Body aches,Rashes,General discomfort,Chills,Joint pain,,,,,
"Hand, Foot, and Mouth Disease",Sores in mouth,Mouth sores,Blisters,General discomfort,Difficulty swallowing,,,,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Diarrhea,Nausea,Vomiting,Stomach cramps,Headache,Fatigue,Dehydration,Loss of appetite,Muscle aches,Body aches,Rashes,Chills,Joint pain,
Roseola,Runny nose,Irritability,Fatigue,Sore throat,Headache,Red eyes,Vomiting,Rashes,,,,,,,,
Norovirus Infection,Headache,Loss of appetite,Dehydration,Chills,Sweating,General discomfort,Fever,Irritability,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Nausea,Vomiting,Stomach cramps,Dehydration,Muscle aches,Rashes,Joint pain,,,,,,,,
Roseola,High fever,Runny nose,Irritability,Fatigue,Swollen lymph nodes,Cough,Red eyes,Diarrhea,Loss of appetite,Abdominal pain,Body aches,Chills,,,,
Roseola,Runny nose,Swollen lymph nodes,Red eyes,Vomiting,Loss of appetite,Abdominal pain,Body aches,Chills,Feverish,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Fatigue,Loss of appetite,Dehydration,Chills,Sweating,Irritability,,,,,,,
Roseola,Runny nose,Rash,Irritability,Fatigue,Abdominal pain,Rashes,,,,,,,,,,
Norovirus Infection,Diarrhea,Vomiting,Nausea,Fatigue,Abdominal pain,Loss of appetite,Dehydration,Sweating,Body aches,Rashes,General discomfort,Fever,,,,
Roseola,Irritability,Swollen lymph nodes,Sore throat,Headache,Cough,Diarrhea,Vomiting,Loss of appetite,Body aches,Chills,,,,,,
Shigellosis (Bacillary Dysentery),Bloody stools,Stomach cramps,Headache,Fatigue,Loss of appetite,Muscle aches,Body aches,Feverish,Rashes,General discomfort,Joint pain,,,,,
Norovirus Infection,Vomiting,Muscle aches,Loss of appetite,Chills,Rashes,Irritability,,,,,,,,,,
Roseola,High fever,Irritability,Fatigue,Swollen lymph nodes,Sore throat,Red eyes,Diarrhea,Vomiting,Abdominal pain,Body aches,Rashes,Feverish,,,,
Norovirus Infection,Diarrhea,Vomiting,Low-grade fever,Muscle aches,Nausea,Chills,Sweating,General discomfort,Fever,,,,,,,
Norovirus Infection,Fatigue,Abdominal pain,Dehydration,Sweating,Body aches,Rashes,Fever,,,,,,,,,
Roseola,High fever,Runny nose,Rash,Irritability,Fatigue,Swollen lymph nodes,Headache,Cough,Diarrhea,Loss of appetite,Rashes,,,,,
Norovirus Infection,Vomiting,Stomach cramps,Low-grade fever,Muscle aches,Nausea,Headache,Fatigue,Loss of appetite,Dehydration,Rashes,Fever,Irritability,,,,
Norovirus Infection,Diarrhea,Vomiting,Stomach cramps,Low-grade fever,Nausea,Headache,Abdominal pain,Loss of appetite,Dehydration,Chills,Sweating,Body aches,Fever,,,
Shigellosis (Bacillary Dysentery),Fever,Diarrhea,Vomiting,Stomach cramps,Headache,Loss of appetite,Body aches,General discomfort,,,,,,,,
Shigellosis (Bacillary Dysentery),Fever,Abdominal pain or cramps,Nausea,Vomiting,Bloody stools,Dehydration,Loss of appetite,Feverish,General discomfort,Chills,,,,,,
